epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,307.324,1.46542,0.6016,1,1.05183,0.000367975,0.000367975,0.000367975
2,612.492,0.93857,0.74,1,0.65352,0.000713944,0.000713944,0.000713944
3,915.983,0.81785,0.8184,1,0.4887,0.00103547,0.00103547,0.00103547
4,1217.67,0.70136,0.8448,1,0.41786,0.00100101,0.00100101,0.00100101
5,1517.88,0.63145,0.8364,1,0.44835,0.000964348,0.000964348,0.000964348
6,1818.69,0.56139,0.8904,1,0.32257,0.000927685,0.000927685,0.000927685
7,2119.52,0.548,0.874,1,0.32718,0.000891022,0.000891022,0.000891022
8,2418.47,0.49594,0.8792,1,0.33343,0.000854359,0.000854359,0.000854359
9,2717.17,0.46965,0.898,1,0.25095,0.000817696,0.000817696,0.000817696
10,3015.94,0.42621,0.9176,1,0.22666,0.000781033,0.000781033,0.000781033
11,3314.2,0.40943,0.9388,1,0.17884,0.00074437,0.00074437,0.00074437
12,3613,0.38001,0.9464,1,0.15156,0.000707707,0.000707707,0.000707707
13,3911.85,0.38276,0.9308,1,0.18622,0.000671044,0.000671044,0.000671044
14,4210.78,0.36227,0.9344,1,0.18976,0.000634381,0.000634381,0.000634381
15,4508.02,0.36013,0.9532,1,0.14425,0.000597718,0.000597718,0.000597718
16,4807.4,0.3341,0.954,1,0.13462,0.000561055,0.000561055,0.000561055
17,5105.85,0.30045,0.9624,1,0.10453,0.000524392,0.000524392,0.000524392
18,5404.02,0.27363,0.9672,1,0.10433,0.000487729,0.000487729,0.000487729
19,5702.54,0.26864,0.9748,1,0.08193,0.000451066,0.000451066,0.000451066
20,6001.33,0.27375,0.976,1,0.07302,0.000414403,0.000414403,0.000414403
21,6300.73,0.24692,0.9764,1,0.06782,0.00037774,0.00037774,0.00037774
22,6600.65,0.25829,0.9772,1,0.06976,0.000341077,0.000341077,0.000341077
23,6899.31,0.23342,0.9768,1,0.07188,0.000304414,0.000304414,0.000304414
24,7198.29,0.215,0.9856,1,0.05302,0.000267751,0.000267751,0.000267751
25,7497.2,0.20546,0.9848,1,0.05534,0.000231088,0.000231088,0.000231088
26,7795.85,0.19192,0.9852,1,0.04987,0.000194425,0.000194425,0.000194425
27,8093.89,0.19042,0.9852,1,0.04776,0.000157762,0.000157762,0.000157762
28,8392.47,0.19504,0.9868,1,0.04531,0.000121099,0.000121099,0.000121099
29,8690.94,0.18554,0.988,1,0.04163,8.4436e-05,8.4436e-05,8.4436e-05
30,8989.71,0.18651,0.9872,1,0.0422,4.7773e-05,4.7773e-05,4.7773e-05
